"Target","Comparison","P_Value","q_value"
"A_11_12_DiHETrE","FMT-Chow control",0.000664220683676442,0.0157757374165313
"A_11_12_DiHETrE","FMT_NGBB-Chow control",0.0125560996190247,0.146144766057501
"A_11_12_DiHETrE","NGBB-Chow control",0.00404478313389256,0.0624303483709504
"A_11_12_DiHETrE","Placebo-Chow control",0.00600821244649741,0.0836437419022188
"A_11_12_DiHETrE","FMT_NGBB-FMT",0.58840485620606,0.99999999998091
"A_11_12_DiHETrE","NGBB-FMT",0.839412844709109,0.99999999998091
"A_11_12_DiHETrE","Placebo-FMT",0.778673015437932,0.99999999998091
"A_11_12_DiHETrE","NGBB-FMT_NGBB",0.989120828938853,0.99999999998091
"A_11_12_DiHETrE","Placebo-FMT_NGBB",0.997070635580547,0.99999999998091
"A_11_12_DiHETrE","Placebo-NGBB",0.999921914424083,0.99999999998091
"A_12_13_DiHOME","FMT-Chow control",2.45493403383534e-10,1.74300316402309e-07
"A_12_13_DiHOME","FMT_NGBB-Chow control",2.99079871979302e-09,7.07822363684348e-07
"A_12_13_DiHOME","NGBB-Chow control",9.47478695501047e-09,1.34541974761149e-06
"A_12_13_DiHOME","Placebo-Chow control",1.06926700826904e-09,3.79589787935508e-07
"A_12_13_DiHOME","FMT_NGBB-FMT",0.358838910092696,0.99999999998091
"A_12_13_DiHOME","NGBB-FMT",0.298406571852343,0.99999999998091
"A_12_13_DiHOME","Placebo-FMT",0.626799309462155,0.99999999998091
"A_12_13_DiHOME","NGBB-FMT_NGBB",0.999803151488041,0.99999999998091
"A_12_13_DiHOME","Placebo-FMT_NGBB",0.989047377416656,0.99999999998091
"A_12_13_DiHOME","Placebo-NGBB",0.968672033779987,0.99999999998091
"A_12_13_EpOME","FMT-Chow control",0.211237213110179,0.99999999998091
"A_12_13_EpOME","FMT_NGBB-Chow control",0.999999927782666,0.99999999998091
"A_12_13_EpOME","NGBB-Chow control",0.977408157129481,0.99999999998091
"A_12_13_EpOME","Placebo-Chow control",0.637475188501705,0.99999999998091
"A_12_13_EpOME","FMT_NGBB-FMT",0.205345567812472,0.99999999998091
"A_12_13_EpOME","NGBB-FMT",0.472377378408906,0.99999999998091
"A_12_13_EpOME","Placebo-FMT",0.880186278271752,0.99999999998091
"A_12_13_EpOME","NGBB-FMT_NGBB",0.978950405564378,0.99999999998091
"A_12_13_EpOME","Placebo-FMT_NGBB",0.633492201758601,0.99999999998091
"A_12_13_EpOME","Placebo-NGBB",0.926474023747413,0.99999999998091
"A_13_HODE","FMT-Chow control",0.00158675312368761,0.0296472294162685
"A_13_HODE","FMT_NGBB-Chow control",0.288851015256661,0.99999999998091
"A_13_HODE","NGBB-Chow control",0.286364645820442,0.99999999998091
"A_13_HODE","Placebo-Chow control",0.0311183113386025,0.290710540136945
"A_13_HODE","FMT_NGBB-FMT",0.13355638540506,0.828492833148706
"A_13_HODE","NGBB-FMT",0.157248518468139,0.901819738897928
"A_13_HODE","Placebo-FMT",0.628237620960266,0.99999999998091
"A_13_HODE","NGBB-FMT_NGBB",0.999998745969018,0.99999999998091
"A_13_HODE","Placebo-FMT_NGBB",0.802003116018464,0.99999999998091
"A_13_HODE","Placebo-NGBB",0.837026386194657,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","FMT-Chow control",0.0114170521905488,0.137391645004909
"A_15deoxy_delta_12_14_PGJ2","FMT_NGBB-Chow control",0.00389779444143645,0.0614985345204418
"A_15deoxy_delta_12_14_PGJ2","NGBB-Chow control",0.000147452767732315,0.00475870295863379
"A_15deoxy_delta_12_14_PGJ2","Placebo-Chow control",2.8889213615102e-05,0.00107954429824855
"A_15deoxy_delta_12_14_PGJ2","FMT_NGBB-FMT",0.999897630470074,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","NGBB-FMT",0.915530825288422,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","Placebo-FMT",0.709225916017415,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","NGBB-FMT_NGBB",0.783574051118245,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","Placebo-FMT_NGBB",0.481153682671434,0.99999999998091
"A_15deoxy_delta_12_14_PGJ2","Placebo-NGBB",0.988282090360701,0.99999999998091
"A_17_18_DiHETE","FMT-Chow control",0.552359366742952,0.99999999998091
"A_17_18_DiHETE","FMT_NGBB-Chow control",0.999967950329749,0.99999999998091
"A_17_18_DiHETE","NGBB-Chow control",0.706007718194901,0.99999999998091
"A_17_18_DiHETE","Placebo-Chow control",0.999994627223198,0.99999999998091
"A_17_18_DiHETE","FMT_NGBB-FMT",0.596300789160253,0.99999999998091
"A_17_18_DiHETE","NGBB-FMT",0.994553958000278,0.99999999998091
"A_17_18_DiHETE","Placebo-FMT",0.514110019773123,0.99999999998091
"A_17_18_DiHETE","NGBB-FMT_NGBB",0.753059262520167,0.99999999998091
"A_17_18_DiHETE","Placebo-FMT_NGBB",0.999763113128772,0.99999999998091
"A_17_18_DiHETE","Placebo-NGBB",0.663925493347827,0.99999999998091
"A_1_AG_2_AG","FMT-Chow control",0.435178281719995,0.99999999998091
"A_1_AG_2_AG","FMT_NGBB-Chow control",0.376874196951688,0.99999999998091
"A_1_AG_2_AG","NGBB-Chow control",0.266061765103696,0.99999999998091
"A_1_AG_2_AG","Placebo-Chow control",0.720940841395466,0.99999999998091
"A_1_AG_2_AG","FMT_NGBB-FMT",0.99988410105675,0.99999999998091
"A_1_AG_2_AG","NGBB-FMT",0.999990603994743,0.99999999998091
"A_1_AG_2_AG","Placebo-FMT",0.972821925895386,0.99999999998091
"A_1_AG_2_AG","NGBB-FMT_NGBB",0.998923077906016,0.99999999998091
"A_1_AG_2_AG","Placebo-FMT_NGBB",0.983054344011044,0.99999999998091
"A_1_AG_2_AG","Placebo-NGBB",0.934642742125558,0.99999999998091
"A_1_LG_2_LG","FMT-Chow control",0.01369371599939,0.151914661868232
"A_1_LG_2_LG","FMT_NGBB-Chow control",0.000666580454219634,0.0157757374165313
"A_1_LG_2_LG","NGBB-Chow control",0.00469140242458621,0.069393660863671
"A_1_LG_2_LG","Placebo-Chow control",0.0406481927590894,0.356298973567327
"A_1_LG_2_LG","FMT_NGBB-FMT",0.992917820271739,0.99999999998091
"A_1_LG_2_LG","NGBB-FMT",0.999996583331096,0.99999999998091
"A_1_LG_2_LG","Placebo-FMT",0.940392895842086,0.99999999998091
"A_1_LG_2_LG","NGBB-FMT_NGBB",0.980589183002905,0.99999999998091
"A_1_LG_2_LG","Placebo-FMT_NGBB",0.651609007124452,0.99999999998091
"A_1_LG_2_LG","Placebo-NGBB",0.931379477694746,0.99999999998091
"A_5S_14R_lipoxinB4","FMT-Chow control",0.999999997876816,0.99999999998091
"A_5S_14R_lipoxinB4","FMT_NGBB-Chow control",0.985417965217444,0.99999999998091
"A_5S_14R_lipoxinB4","NGBB-Chow control",0.849499521788581,0.99999999998091
"A_5S_14R_lipoxinB4","Placebo-Chow control",0.820510448552753,0.99999999998091
"A_5S_14R_lipoxinB4","FMT_NGBB-FMT",0.991801589485218,0.99999999998091
"A_5S_14R_lipoxinB4","NGBB-FMT",0.90248411093038,0.99999999998091
"A_5S_14R_lipoxinB4","Placebo-FMT",0.882002015311219,0.99999999998091
"A_5S_14R_lipoxinB4","NGBB-FMT_NGBB",0.985295053934213,0.99999999998091
"A_5S_14R_lipoxinB4","Placebo-FMT_NGBB",0.977619028433263,0.99999999998091
"A_5S_14R_lipoxinB4","Placebo-NGBB",0.999996805631985,0.99999999998091
"A_5_6_DiHETrE","FMT-Chow control",0.999972801194751,0.99999999998091
"A_5_6_DiHETrE","FMT_NGBB-Chow control",0.934608472099944,0.99999999998091
"A_5_6_DiHETrE","NGBB-Chow control",0.312757761019381,0.99999999998091
"A_5_6_DiHETrE","Placebo-Chow control",0.412011093211304,0.99999999998091
"A_5_6_DiHETrE","FMT_NGBB-FMT",0.931763779030807,0.99999999998091
"A_5_6_DiHETrE","NGBB-FMT",0.379137682182877,0.99999999998091
"A_5_6_DiHETrE","Placebo-FMT",0.473651889217206,0.99999999998091
"A_5_6_DiHETrE","NGBB-FMT_NGBB",0.753304658566143,0.99999999998091
"A_5_6_DiHETrE","Placebo-FMT_NGBB",0.849548142402873,0.99999999998091
"A_5_6_DiHETrE","Placebo-NGBB",0.999741087911508,0.99999999998091
"A_8_12_iso_iPF2a_VI","FMT-Chow control",0.62381215401848,0.99999999998091
"A_8_12_iso_iPF2a_VI","FMT_NGBB-Chow control",0.172405271493133,0.963840494174207
"A_8_12_iso_iPF2a_VI","NGBB-Chow control",0.369279311586574,0.99999999998091
"A_8_12_iso_iPF2a_VI","Placebo-Chow control",0.562321258047655,0.99999999998091
"A_8_12_iso_iPF2a_VI","FMT_NGBB-FMT",0.980237942603036,0.99999999998091
"A_8_12_iso_iPF2a_VI","NGBB-FMT",0.999610699988144,0.99999999998091
"A_8_12_iso_iPF2a_VI","Placebo-FMT",0.999990015403943,0.99999999998091
"A_8_12_iso_iPF2a_VI","NGBB-FMT_NGBB",0.994283965330742,0.99999999998091
"A_8_12_iso_iPF2a_VI","Placebo-FMT_NGBB",0.948270376371908,0.99999999998091
"A_8_12_iso_iPF2a_VI","Placebo-NGBB",0.997614418260292,0.99999999998091
"A_8_9_DiHETrE","FMT-Chow control",0.728955659374214,0.99999999998091
"A_8_9_DiHETrE","FMT_NGBB-Chow control",0.998601308944208,0.99999999998091
"A_8_9_DiHETrE","NGBB-Chow control",0.826169809710884,0.99999999998091
"A_8_9_DiHETrE","Placebo-Chow control",0.950983961785782,0.99999999998091
"A_8_9_DiHETrE","FMT_NGBB-FMT",0.564300091878801,0.99999999998091
"A_8_9_DiHETrE","NGBB-FMT",0.207838066146623,0.99999999998091
"A_8_9_DiHETrE","Placebo-FMT",0.345616033587467,0.99999999998091
"A_8_9_DiHETrE","NGBB-FMT_NGBB",0.928757502914743,0.99999999998091
"A_8_9_DiHETrE","Placebo-FMT_NGBB",0.990895160721063,0.99999999998091
"A_8_9_DiHETrE","Placebo-NGBB",0.997029564155405,0.99999999998091
"A_9_10_13_TriHOME","FMT-Chow control",0.820724972110513,0.99999999998091
"A_9_10_13_TriHOME","FMT_NGBB-Chow control",0.993140460603995,0.99999999998091
"A_9_10_13_TriHOME","NGBB-Chow control",0.828789322286049,0.99999999998091
"A_9_10_13_TriHOME","Placebo-Chow control",0.999560260577613,0.99999999998091
"A_9_10_13_TriHOME","FMT_NGBB-FMT",0.951443995037287,0.99999999998091
"A_9_10_13_TriHOME","NGBB-FMT",0.282105650472492,0.99999999998091
"A_9_10_13_TriHOME","Placebo-FMT",0.900650301931317,0.99999999998091
"A_9_10_13_TriHOME","NGBB-FMT_NGBB",0.568491510205345,0.99999999998091
"A_9_10_13_TriHOME","Placebo-FMT_NGBB",0.999560948006042,0.99999999998091
"A_9_10_13_TriHOME","Placebo-NGBB",0.714876818008682,0.99999999998091
"A_9_10_EpOME","FMT-Chow control",0.141844411027405,0.853470608724214
"A_9_10_EpOME","FMT_NGBB-Chow control",0.995465391145929,0.99999999998091
"A_9_10_EpOME","NGBB-Chow control",0.962526319985444,0.99999999998091
"A_9_10_EpOME","Placebo-Chow control",0.856632741184087,0.99999999998091
"A_9_10_EpOME","FMT_NGBB-FMT",0.0626950625887371,0.473547813170249
"A_9_10_EpOME","NGBB-FMT",0.0371185713785798,0.329427320984895
"A_9_10_EpOME","Placebo-FMT",0.57225071177382,0.99999999998091
"A_9_10_EpOME","NGBB-FMT_NGBB",0.998119900958395,0.99999999998091
"A_9_10_EpOME","Placebo-FMT_NGBB",0.634101627904322,0.99999999998091
"A_9_10_EpOME","Placebo-NGBB",0.467326503398021,0.99999999998091
"A_9_12_13_TriHOME","FMT-Chow control",0.591866754067484,0.99999999998091
"A_9_12_13_TriHOME","FMT_NGBB-Chow control",0.995891431507172,0.99999999998091
"A_9_12_13_TriHOME","NGBB-Chow control",0.979684211763957,0.99999999998091
"A_9_12_13_TriHOME","Placebo-Chow control",0.981311435174376,0.99999999998091
"A_9_12_13_TriHOME","FMT_NGBB-FMT",0.772764670754613,0.99999999998091
"A_9_12_13_TriHOME","NGBB-FMT",0.301924165314909,0.99999999998091
"A_9_12_13_TriHOME","Placebo-FMT",0.864682406592824,0.99999999998091
"A_9_12_13_TriHOME","NGBB-FMT_NGBB",0.877741583528489,0.99999999998091
"A_9_12_13_TriHOME","Placebo-FMT_NGBB",0.999677054653105,0.99999999998091
"A_9_12_13_TriHOME","Placebo-NGBB",0.798262318869373,0.99999999998091
"A_9_HOTrE","FMT-Chow control",0.00132040374030074,0.0267853330175292
"A_9_HOTrE","FMT_NGBB-Chow control",0.00564265293020694,0.0801256716089385
"A_9_HOTrE","NGBB-Chow control",0.0335787997111091,0.309622698634902
"A_9_HOTrE","Placebo-Chow control",0.00727741843161478,0.0956845756749351
"A_9_HOTrE","FMT_NGBB-FMT",0.855181955053642,0.99999999998091
"A_9_HOTrE","NGBB-FMT",0.574147054118369,0.99999999998091
"A_9_HOTrE","Placebo-FMT",0.85799759644118,0.99999999998091
"A_9_HOTrE","NGBB-FMT_NGBB",0.976071733161917,0.99999999998091
"A_9_HOTrE","Placebo-FMT_NGBB",0.999999995768244,0.99999999998091
"A_9_HOTrE","Placebo-NGBB",0.979426606189073,0.99999999998091
"A_9_HpODE","FMT-Chow control",0.99864240856844,0.99999999998091
"A_9_HpODE","FMT_NGBB-Chow control",0.993705070209977,0.99999999998091
"A_9_HpODE","NGBB-Chow control",0.99059219693943,0.99999999998091
"A_9_HpODE","Placebo-Chow control",0.772596189142198,0.99999999998091
"A_9_HpODE","FMT_NGBB-FMT",0.999990532926024,0.99999999998091
"A_9_HpODE","NGBB-FMT",0.959284882265041,0.99999999998091
"A_9_HpODE","Placebo-FMT",0.69079320640867,0.99999999998091
"A_9_HpODE","NGBB-FMT_NGBB",0.902365845083334,0.99999999998091
"A_9_HpODE","Placebo-FMT_NGBB",0.505013479802577,0.99999999998091
"A_9_HpODE","Placebo-NGBB",0.954730184346219,0.99999999998091
"A_AEA","FMT-Chow control",0.195945756235511,0.99999999998091
"A_AEA","FMT_NGBB-Chow control",0.103580806905716,0.690893339413141
"A_AEA","NGBB-Chow control",0.82475473087926,0.99999999998091
"A_AEA","Placebo-Chow control",0.51821368596386,0.99999999998091
"A_AEA","FMT_NGBB-FMT",0.999999804947981,0.99999999998091
"A_AEA","NGBB-FMT",0.711808234672533,0.99999999998091
"A_AEA","Placebo-FMT",0.925537501562693,0.99999999998091
"A_AEA","NGBB-FMT_NGBB",0.609210631138414,0.99999999998091
"A_AEA","Placebo-FMT_NGBB",0.892952864487083,0.99999999998091
"A_AEA","Placebo-NGBB",0.985288484279525,0.99999999998091
"A_EPEA","FMT-Chow control",0.997923781247014,0.99999999998091
"A_EPEA","FMT_NGBB-Chow control",0.970280514904676,0.99999999998091
"A_EPEA","NGBB-Chow control",0.91102715291552,0.99999999998091
"A_EPEA","Placebo-Chow control",0.92917146162971,0.99999999998091
"A_EPEA","FMT_NGBB-FMT",0.99931529118713,0.99999999998091
"A_EPEA","NGBB-FMT",0.99156337400559,0.99999999998091
"A_EPEA","Placebo-FMT",0.994631960362383,0.99999999998091
"A_EPEA","NGBB-FMT_NGBB",0.999105528104906,0.99999999998091
"A_EPEA","Placebo-FMT_NGBB",0.999681879395895,0.99999999998091
"A_EPEA","Placebo-NGBB",0.999997621913858,0.99999999998091
"A_FA20.3_w3","FMT-Chow control",0.00231523274500123,0.0421491089474582
"A_FA20.3_w3","FMT_NGBB-Chow control",0.00435427610236694,0.065777362397458
"A_FA20.3_w3","NGBB-Chow control",0.000653126227201706,0.0157757374165313
"A_FA20.3_w3","Placebo-Chow control",0.00154295009080274,0.0296079612018904
"A_FA20.3_w3","FMT_NGBB-FMT",0.947429236507547,0.99999999998091
"A_FA20.3_w3","NGBB-FMT",0.999968015423913,0.99999999998091
"A_FA20.3_w3","Placebo-FMT",0.996679302874192,0.99999999998091
"A_FA20.3_w3","NGBB-FMT_NGBB",0.952935689021881,0.99999999998091
"A_FA20.3_w3","Placebo-FMT_NGBB",0.992559084648121,0.99999999998091
"A_FA20.3_w3","Placebo-NGBB",0.998718168446214,0.99999999998091
"A_FA20.3_w9","FMT-Chow control",0.0164203604997347,0.171890309915292
"A_FA20.3_w9","FMT_NGBB-Chow control",0.000619348921074847,0.0157757374165313
"A_FA20.3_w9","NGBB-Chow control",0.0515491836435481,0.411235060527182
"A_FA20.3_w9","Placebo-Chow control",0.00922444112971965,0.114900933370192
"A_FA20.3_w9","FMT_NGBB-FMT",0.985578966540056,0.99999999998091
"A_FA20.3_w9","NGBB-FMT",0.9351040288391,0.99999999998091
"A_FA20.3_w9","Placebo-FMT",0.999613921584209,0.99999999998091
"A_FA20.3_w9","NGBB-FMT_NGBB",0.574609405198666,0.99999999998091
"A_FA20.3_w9","Placebo-FMT_NGBB",0.923326570197549,0.99999999998091
"A_FA20.3_w9","Placebo-NGBB",0.9647671579224,0.99999999998091
"A_FA20.4_w6","FMT-Chow control",0.00382641637058434,0.0614985345204418
"A_FA20.4_w6","FMT_NGBB-Chow control",0.00480410085065708,0.069610440897276
"A_FA20.4_w6","NGBB-Chow control",0.000360290955814468,0.0102322631451309
"A_FA20.4_w6","Placebo-Chow control",0.00128854290056823,0.0267853330175292
"A_FA20.4_w6","FMT_NGBB-FMT",0.975439579172916,0.99999999998091
"A_FA20.4_w6","NGBB-FMT",0.999433841148336,0.99999999998091
"A_FA20.4_w6","Placebo-FMT",0.999930763080596,0.99999999998091
"A_FA20.4_w6","NGBB-FMT_NGBB",0.882264828118343,0.99999999998091
"A_FA20.4_w6","Placebo-FMT_NGBB",0.984468739627238,0.99999999998091
"A_FA20.4_w6","Placebo-NGBB",0.994357928059459,0.99999999998091
"A_FA20.5_w3","FMT-Chow control",0.0167048329354298,0.171890309915292
"A_FA20.5_w3","FMT_NGBB-Chow control",0.145685576558339,0.861972994636841
"A_FA20.5_w3","NGBB-Chow control",0.27739513044056,0.99999999998091
"A_FA20.5_w3","Placebo-Chow control",0.400358752791845,0.99999999998091
"A_FA20.5_w3","FMT_NGBB-FMT",0.722217212796057,0.99999999998091
"A_FA20.5_w3","NGBB-FMT",0.572780273661427,0.99999999998091
"A_FA20.5_w3","Placebo-FMT",0.444154514026034,0.99999999998091
